pair0089,change in the mass loss in April 2012 in grassland, change in the mass loss in October 2012 there,
pair0090,change in the mass loss in October 2012 in forest, change in the mass loss in April 2012 there,
pair0090,change in the mass loss in April 2012 in forest, change in the mass loss in October 2012 there,
pair0091,change in the clay content in soil, change in its soil moisture,
pair0091,change in the soul moisture, change in its clay content in soil,
pair0092,change in the organic carbon in soil, change in the clay content in soil,
pair0092,change in the clay content in soil, change in the organic carbon in soil,
pair0093,change in the precipitation, change in the runoff in river catchment areas,
pair0093,change in the runoff, change in the precipitation in river catchment areas,
pair0094,change in the hour of day, change in the temperature,
pair0094,change in the temperature, change in the hour of day,
pair0095,change in the hour of day, change in the electricity load in a region,
pair0095,change in the electricity load in a region, change in the hour of day,
pair0096,change in the temperature, change in the electricity load in a region,
pair0096,change in the electricity load in a region, change in the temperature,
pair0097,change in a ball's speed at the beginning of a ball track, change in its speed at the end of the track,
pair0097,change in a ball's speed at the end of a ball track, change in its speed at the beginning of the track,
pair0098,change in a ball's speed at the beginning of a ball track with an acceleration zone, change in its speed at the end of the track,
pair0098,change in a ball's speed at the end of a ball track with an acceleration zone, change in its speed at the beginning of the track,
pair0099,change in the language test score of a student, change in the social-economic status of their family?  Please answer in a single word: Yes or No.
pair0099,change in the social-economic status of a student's family, change in their language test score?  Please answer in a single word: Yes or No.
pair0100,change in the cycle time of a CPU, change in its performance on a benchmark mix?  Please answer in a single word: Yes or No.
pair0100,change in the performance of a CPU on a benchmark mix, change in its cycle time?  Please answer in a single word: Yes or No.
pair0101, change in the grey value of a pixel, change in the brightness of the screen,
pair0101, change in the brightness of the screen, change in the grey value of a pixel,
pair0102, change in the initial position of the ball in a ball track, change in the time interval between passing the first and the second light barrier of the track,
pair0102, change in the time interval between passing the first and the second light barrier of a ball track, change in the initial position of the ball in the track,
pair0103, change in the initial position of the ball in a ball track, change in the time interval between passing the third and the fourth light barrier of the track,
pair0103, change in the time interval between passing the third and the fourth light barrier of a ball track, change in the initial position of the ball in the track,
pair0104, change in the time interval between passing the first and the second light barrier of a ball track, change in the time interval between passing the third and the fourth light barrier of the track,
pair0104, change in the time interval between passing the third and the fourth light barrier of a ball track, change in the time interval between passing the first and the second light barrier of the track,
pair0105, change in the pixel vector of a patch, change in the total brightness of the screen,
pair0105, change in the total brightness of the screen, change in the pixel vector of a patch,
pair0106, change in the time required for one round by an electric toy locomotive, change in its input voltage,
pair0106, change in the input voltage of an electric toy locomotive, change in its time required for one round,
pair0107, change in the contrast of tilted Gabor patches, change in the accuracy of detection of tilt by participants,
pair0107, change in the accuracy of detection of tilt of Gabor patches by participants, change in contrast of the Gabor patches,
pair0108, change in the time for 1/6 rotation of a Stirling engine, change in the temperature of its heat bath,
pair0108, change in the temperature of the heat bath of a Stirling engine, change in time it takes for 1/6 rotation,
